title, url
Star Wars Ep. VIII: The Last Jedi, https://www.imdb.com/title/tt2527336/
Beauty and the Beast, https://www.imdb.com/title/tt2771200/
Wonder Woman, https://www.imdb.com/title/tt0451279/
Jumanji: Welcome to the Jungle, https://www.imdb.com/title/tt2283362/
Guardians of the Galaxy Vol 2, https://www.imdb.com/title/tt3896198/
Spider-Man: Homecoming, https://www.imdb.com/title/tt2250912/
It, https://www.imdb.com/title/tt1396484/
Thor: Ragnarok, https://www.imdb.com/title/tt3501632/
Despicable Me 3, https://www.imdb.com/title/tt3469046/
Justice League, https://www.imdb.com/title/tt0974015/
Logan, https://www.imdb.com/title/tt3315342/
The Fate of the Furious, https://www.imdb.com/title/tt4630562/
Coco, https://www.imdb.com/title/tt2380307/
Dunkirk, https://www.imdb.com/title/tt5013056/
Get Out, https://www.imdb.com/title/tt5052448/
The Lego Batman Movie, https://www.imdb.com/title/tt4116284/
The Boss Baby, https://www.imdb.com/title/tt3874544/
The Greatest Showman, https://www.imdb.com/title/tt1485796/
Pirates of the Caribbean: Dead Men Tell No Tales, https://www.imdb.com/title/tt1790809/
Kong: Skull Island, https://www.imdb.com/title/tt3731562/
Cars 3, https://www.imdb.com/title/tt3606752/
War for the Planet of the Apes, https://www.imdb.com/title/tt3450958/
Split, https://www.imdb.com/title/tt4972582/
Wonder, https://www.imdb.com/title/tt2543472/
Transformers: The Last Knight, https://www.imdb.com/title/tt3371366/
Girls Trip, https://www.imdb.com/title/tt3564472/
Fifty Shades Darker, https://www.imdb.com/title/tt4465564/
Baby Driver, https://www.imdb.com/title/tt3890160/
Pitch Perfect 3, https://www.imdb.com/title/tt4765284/
Daddy's Home 2, https://www.imdb.com/title/tt5657846/
Murder on the Orient Express, https://www.imdb.com/title/tt3402236/
Annabelle: Creation, https://www.imdb.com/title/tt5140878/
Kingsman: The Golden Circle, https://www.imdb.com/title/tt4649466/
Blade Runner 2049, https://www.imdb.com/title/tt1856101/
John Wick: Chapter Two, https://www.imdb.com/title/tt4425200/
The Emoji Movie, https://www.imdb.com/title/tt4877122/
Power Rangers, https://www.imdb.com/title/tt3717490/
Ferdinand, https://www.imdb.com/title/tt3411444/
The Post, https://www.imdb.com/title/tt6294822/
The Mummy, https://www.imdb.com/title/tt2345759/
The Hitman's Bodyguard, https://www.imdb.com/title/tt1959563/
Alien: Covenant, https://www.imdb.com/title/tt2316204/
Captain Underpants: The First Epic Movie, https://www.imdb.com/title/tt2091256/
A Bad Moms Christmas, https://www.imdb.com/title/tt6359956/
A Dog's Purpose, https://www.imdb.com/title/tt1753383/
The Shape of Water, https://www.imdb.com/title/tt5580390/
The Lego Ninjago Movie, https://www.imdb.com/title/tt3014284/
Baywatch, https://www.imdb.com/title/tt1469304/
The Shack, https://www.imdb.com/title/tt2872518/
Darkest Hour, https://www.imdb.com/title/tt4555426/
